Participant,Fold,Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1 Score,AUROC
p11,4,16,16,0.2,0.0005,0.0001,0.6790123456790124,0.6891891891891891,0.6375,0.6623376623376623,0.7275914634146341
p11,5,16,16,0.2,0.0005,0.0001,0.6234567901234568,0.6301369863013698,0.575,0.6013071895424836,0.6484756097560975
p11,1,16,16,0.3,0.001,0.0,0.656441717791411,0.676056338028169,0.5925925925925926,0.631578947368421,0.6737428485395965
p11,2,16,16,0.3,0.001,0.0,0.7098765432098766,0.7073170731707317,0.7160493827160493,0.7116564417177914,0.729614388050602
p11,3,16,16,0.3,0.001,0.0,0.6234567901234568,0.625,0.6172839506172839,0.6211180124223602,0.6616369455875628
p11,4,16,16,0.3,0.001,0.0,0.6851851851851852,0.6986301369863014,0.6375,0.6666666666666666,0.745579268292683
p11,5,16,16,0.3,0.001,0.0,0.6111111111111112,0.5825242718446602,0.75,0.6557377049180327,0.6553353658536586
p11,1,16,16,0.3,0.001,0.0001,0.6503067484662577,0.6538461538461539,0.6296296296296297,0.6415094339622641,0.6793134598012647
p11,2,16,16,0.3,0.001,0.0001,0.691358024691358,0.7183098591549296,0.6296296296296297,0.6710526315789473,0.7416552354823959
p11,3,16,16,0.3,0.001,0.0001,0.6419753086419753,0.6533333333333333,0.6049382716049383,0.6282051282051282,0.6372504191434232
p11,4,16,16,0.3,0.001,0.0001,0.6728395061728395,0.6901408450704225,0.6125,0.6490066225165563,0.7457317073170732
p11,5,16,16,0.3,0.001,0.0001,0.5679012345679012,0.5595238095238095,0.5875,0.573170731707317,0.6161585365853659
p11,1,16,16,0.3,0.0005,0.0,0.6441717791411042,0.6493506493506493,0.6172839506172839,0.6329113924050633,0.676904546823246
p11,2,16,16,0.3,0.0005,0.0,0.6790123456790124,0.7543859649122807,0.5308641975308642,0.6231884057971014,0.7334247828074989
p11,3,16,16,0.3,0.0005,0.0,0.6604938271604939,0.6756756756756757,0.6172839506172839,0.6451612903225806,0.6497485139460448
p11,4,16,16,0.3,0.0005,0.0,0.6666666666666666,0.6756756756756757,0.625,0.6493506493506493,0.7332317073170731
p11,5,16,16,0.3,0.0005,0.0,0.5370370370370371,0.5714285714285714,0.25,0.34782608695652173,0.616920731707317
p11,1,16,16,0.3,0.0005,0.0001,0.6441717791411042,0.6533333333333333,0.6049382716049383,0.6282051282051282,0.6755495332731104
p11,2,16,16,0.3,0.0005,0.0001,0.6728395061728395,0.7,0.6049382716049383,0.6490066225165563,0.7239750038103947
p11,3,16,16,0.3,0.0005,0.0001,0.6172839506172839,0.6172839506172839,0.6172839506172839,0.6172839506172839,0.6559975613473557
p11,4,16,16,0.3,0.0005,0.0001,0.691358024691358,0.7142857142857143,0.625,0.6666666666666666,0.7474085365853659
p11,5,16,16,0.3,0.0005,0.0001,0.5308641975308642,0.5133333333333333,0.9625,0.6695652173913044,0.6664634146341463
