Participant,learning_rate,max_depth,min_samples_leaf,min_samples_split,n_estimators,subsample,mean_test_score,std_test_score,rank_test_score
p12,0.01,2,2,2,100,0.8,0.5084577454195792,0.050550939214730375,124
p12,0.01,2,2,2,100,1.0,0.5192941291524378,0.027361730870532223,46
p12,0.01,2,2,2,200,0.8,0.5169662391858042,0.04787533614078245,62
p12,0.01,2,2,2,200,1.0,0.5125434545658785,0.021623120013607243,89
p12,0.01,2,2,5,50,0.8,0.49234043756259666,0.050120978561603524,208
p12,0.01,2,2,5,50,1.0,0.499108714199879,0.040629169362817213,188
p12,0.01,2,2,5,100,0.8,0.5084577454195792,0.050550939214730375,124
p12,0.01,2,2,5,100,1.0,0.5192941291524378,0.027361730870532223,46
p12,0.01,2,2,5,200,0.8,0.5169662391858042,0.04787533614078245,62
p12,0.01,2,2,5,200,1.0,0.5125434545658785,0.021623120013607243,89
p12,0.01,3,1,2,50,0.8,0.5038834353352398,0.0482180565793488,161
p12,0.01,3,1,2,50,1.0,0.4933404468962196,0.038836842026132905,203
p12,0.01,3,1,2,100,0.8,0.5051960834085557,0.04620269379895318,155
p12,0.01,3,1,2,100,1.0,0.5032966449072275,0.05063991119110825,164
p12,0.01,3,1,2,200,0.8,0.525312222831764,0.03747309172314659,23
p12,0.01,3,1,2,200,1.0,0.5004420023592139,0.04069527660960259,180
p12,0.01,3,1,5,50,0.8,0.5051798430842751,0.05024132783749356,156
p12,0.01,3,1,5,50,1.0,0.4933404468962196,0.038836842026132905,203
p12,0.01,3,1,5,100,0.8,0.512249327193727,0.04700816412684654,93
p12,0.01,3,1,5,100,1.0,0.5059966411447283,0.05345045350671066,146
p12,0.01,3,1,5,200,0.8,0.5222775656675591,0.03441868565088317,35
p12,0.01,3,1,5,200,1.0,0.5010213253825877,0.0435204250045138,178
p12,0.01,3,2,2,50,0.8,0.5076503619423927,0.04694907198939807,134
p12,0.01,3,2,2,50,1.0,0.4931154116733355,0.04350988532369659,205
p12,0.01,3,2,2,100,0.8,0.5053554445829317,0.05122565189334212,153
p12,0.01,3,2,2,100,1.0,0.5029318628767924,0.048048371903787856,168
p12,0.01,3,2,2,200,0.8,0.5172463920816341,0.0314419818006172,59
p12,0.01,3,2,2,200,1.0,0.5078923976672756,0.04992605752802094,128
p12,0.01,3,2,5,50,0.8,0.5076503619423927,0.04694907198939807,134
p12,0.01,3,2,5,50,1.0,0.4931154116733355,0.04350988532369659,205
p12,0.01,3,2,5,100,0.8,0.5053554445829317,0.05122565189334212,153
p12,0.01,3,2,5,100,1.0,0.5029318628767924,0.048048371903787856,168
p12,0.01,3,2,5,200,0.8,0.5242496065969837,0.037367646545545107,25
p12,0.01,3,2,5,200,1.0,0.5061493973869993,0.04495509406836226,144
p12,0.01,4,1,2,50,0.8,0.5234478373052228,0.047395523048689006,27
p12,0.01,4,1,2,50,1.0,0.4774308728751895,0.03840603200435817,215
p12,0.01,4,1,2,100,0.8,0.5097247896212741,0.041939286244762085,108
p12,0.01,4,1,2,100,1.0,0.5128593629039857,0.03315895620510115,88
p12,0.01,4,1,2,200,0.8,0.5167135817657811,0.039102980270783634,65
p12,0.01,4,1,2,200,1.0,0.511399903968996,0.04157548055712469,96
p12,0.01,4,1,5,50,0.8,0.5187030637647088,0.041054610118363526,52
p12,0.01,4,1,5,50,1.0,0.47854877374202254,0.038039899373620664,214
p12,0.01,4,1,5,100,0.8,0.5143403590707687,0.04420187616829461,76
p12,0.01,4,1,5,100,1.0,0.522133479210073,0.032299547906079924,38
p12,0.01,4,1,5,200,0.8,0.5188499261862012,0.02652817961588808,50
p12,0.01,4,1,5,200,1.0,0.5238452969877616,0.03986724619977741,26
p12,0.01,4,2,2,50,0.8,0.5203335026809939,0.041949828183416665,43
p12,0.01,4,2,2,50,1.0,0.47902067482966915,0.03488359943807862,213
p12,0.01,4,2,2,100,0.8,0.5171820492574148,0.04089687658840727,60
p12,0.01,4,2,2,100,1.0,0.5125065555091057,0.040761695732944844,91
p12,0.01,4,2,2,200,0.8,0.5180387117494621,0.04357806600645611,54
p12,0.01,4,2,2,200,1.0,0.5228801136694882,0.04016657462033773,31
p12,0.01,4,2,5,50,0.8,0.5221999090415602,0.04139391223774514,36
p12,0.01,4,2,5,50,1.0,0.47738036352378244,0.03484236099545586,216
p12,0.01,4,2,5,100,0.8,0.5067578442785774,0.04095648440500009,138
p12,0.01,4,2,5,100,1.0,0.5038260551738822,0.03803990546507561,163
p12,0.01,4,2,5,200,0.8,0.5138511976805223,0.047373925599849626,80
p12,0.01,4,2,5,200,1.0,0.5230316436049999,0.04584505894722117,28
p12,0.05,2,1,2,50,0.8,0.5215753873272777,0.03298403259006324,39
p12,0.05,2,1,2,50,1.0,0.5028980094374208,0.03408399702708335,171
p12,0.05,2,1,2,100,0.8,0.49537251862179366,0.04189509773814905,200
p12,0.05,2,1,2,100,1.0,0.4993369867364515,0.050798436125443394,185
p12,0.05,2,1,2,200,0.8,0.5028030331777068,0.0594661460853219,174
p12,0.05,2,1,2,200,1.0,0.5107363290653063,0.05825224453926152,98
p12,0.05,2,1,5,50,0.8,0.5215753873272777,0.03298403259006324,39
p12,0.05,2,1,5,50,1.0,0.5028980094374208,0.03408399702708335,171
p12,0.05,2,1,5,100,0.8,0.49537251862179366,0.04189509773814905,200
p12,0.05,2,1,5,100,1.0,0.502155334343555,0.050750999265033736,176
p12,0.05,2,1,5,200,0.8,0.5041403781811449,0.05870893365743941,160
p12,0.05,2,1,5,200,1.0,0.5092928187364746,0.05927744269911863,112
