CSV Name,DER Mean,DER Median,DER Std,FA Mean,FA Median,FA Std,Missed Mean,Missed Median,Missed Std,Confusion Mean,Confusion Median,Confusion Std,Correct Mean,Correct Median,Correct Std
model_C-vad_MMN-embedding_ET-audio_DENOISED-speaker_AUTO-overlap_OVERLAP-params_OLD,35.434999999999995,28.740000000000002,17.158798931429633,8.192142857142857,5.635,7.243088141405972,16.869285714285713,15.21,8.989289750574303,10.373571428571429,7.550000000000001,7.911006555759814,72.75785714285715,76.09,14.148854902604135
model_C-vad_TMN-embedding_TL-audio_DENOISED-speaker_AUTO-overlap_OVERLAP-params_OLD,44.04071428571428,36.825,23.38611338915788,13.029285714285715,9.07,11.325855012238227,16.556428571428572,13.855,9.670152816502203,14.454999999999997,10.780000000000001,11.410589380045188,68.98785714285714,73.36000000000001,15.13399137884468
model_C-vad_TMN-embedding_ET-audio_DENOISED-speaker_AUTO-overlap_OVERLAP-params_OLD,43.03714285714286,31.15,25.228644107769316,13.029285714285715,9.07,11.325855012238227,16.556428571428572,13.855,9.670152816502203,13.452857142857143,8.315000000000001,12.650966170808658,69.99142857142856,77.88,16.995565872916952
model_C-vad_MN-embedding_TL-audio_DENOISED-speaker_AUTO-overlap_NO_OVERLAP-params_OLD,42.72285714285715,35.265,17.244402181386473,5.769285714285714,4.815,3.307482110622507,22.064999999999998,19.045,8.193277497671255,14.889285714285714,11.865,11.520087782975985,63.044999999999995,69.13,15.612026306172282
model_C-vad_MN-embedding_ET-audio_DENOISED-speaker_AUTO-overlap_NO_OVERLAP-params_OLD,40.767857142857146,35.5,15.605502076349385,5.769285714285714,4.815,3.307482110622507,22.064999999999998,19.045,8.193277497671255,12.932857142857145,8.465,10.894119393628719,65.0007142857143,68.85,13.766736647153817
model_C-vad_MMN-embedding_TL-audio_DENOISED-speaker_AUTO-overlap_NO_OVERLAP-params_OLD,37.41285714285715,28.465,22.596863100395638,9.812142857142858,6.615,9.279986056497671,11.169999999999998,7.9799999999999995,8.282972339035714,16.431428571428572,11.605,13.139460155836431,72.39928571428571,78.08000000000001,15.8751259058778
model_C-vad_MMN-embedding_ET-audio_DENOISED-speaker_AUTO-overlap_NO_OVERLAP-params_OLD,32.74357142857143,22.6,18.757224498286543,9.812142857142858,6.615,9.279986056497671,11.169999999999998,7.9799999999999995,8.282972339035714,11.762857142857142,7.655,8.88937172528687,77.0692857142857,83.185,14.655421923583154
model_C-vad_TMN-embedding_TL-audio_DENOISED-speaker_AUTO-overlap_NO_OVERLAP-params_OLD,42.99,34.32,27.086063120812064,15.499285714285715,10.059999999999999,14.189922461047821,10.784285714285714,7.625,9.380037489088373,16.70357142857143,10.969999999999999,13.71092579892898,72.50928571428572,78.84,15.899287097847507
model_C-vad_TMN-embedding_ET-audio_DENOISED-speaker_AUTO-overlap_NO_OVERLAP-params_OLD,41.69642857142858,25.15,29.079904403382933,15.499285714285715,10.059999999999999,14.189922461047821,10.784285714285714,7.625,9.380037489088373,15.411428571428571,8.75,14.905322155908895,73.80428571428571,83.95,18.12262025301984
model_N-vad_MN-embedding_TL-audio_RAW-speaker_FIXED-overlap_OVERLAP-params_OLD,67.45857142857142,63.584999999999994,14.121440249679733,8.96642857142857,9.27,5.8775185857021945,47.17500000000001,38.435,21.80713706388523,11.316428571428572,12.41,6.8934033206145235,41.50857142857143,49.38,17.84667512974933
