	Model Type	Audio Type	Speaker Mode	Overlap Mode	VAD	Embedding	video_id	DER	False Alarm %	Missed Speech %	Confusion %	Correct %
647	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	titanet_large	p7-s16	25.34	8.04	7.59	9.7	82.7
648	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	titanet_large	p9-s3-1	73.14	15.78	37.44	19.91	42.64
649	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	titanet_large	p9-s9	49.92	16.35	24.89	8.68	66.44
650	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	titanet_large	p11-s4	32.26	10.86	6.64	14.76	78.6
651	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	titanet_large	p11-s11	26.21	9.26	4.7	12.24	83.05
652	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	titanet_large	p12-s3	97.37	44.76	3.88	48.73	47.39
653	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	titanet_large	p12-s6	91.35	50.73	3.57	37.05	59.38
654	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	titanet_large	p17-s2	19.26	8.74	5.34	5.17	89.48
655	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	titanet_large	p17-s6	36.87	7.96	10.48	18.43	71.09
656	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	titanet_large	p18-s15	12.87	3.84	5.41	3.62	90.97
657	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	titanet_large	p18-s17	24.43	5.75	10.15	8.52	81.32
658	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	ecapa_tdnn	p5-s8	36.19	15.46	11.48	9.25	79.27
659	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	ecapa_tdnn	p5-s10	20.53	8.46	7.66	4.41	87.93
660	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	ecapa_tdnn	p7-s8	57.12	11	11.75	34.37	53.88
661	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	ecapa_tdnn	p7-s16	25.83	8.04	7.59	10.19	82.22
662	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	ecapa_tdnn	p9-s3-1	72.95	15.78	37.44	19.73	42.83
663	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	ecapa_tdnn	p9-s9	64.05	16.35	24.89	22.8	52.31
664	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	ecapa_tdnn	p11-s4	24.47	10.86	6.64	6.97	86.39
665	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	ecapa_tdnn	p11-s11	22.21	9.26	4.7	8.25	87.05
666	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	ecapa_tdnn	p12-s3	97.38	44.76	3.88	48.75	47.37
667	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	ecapa_tdnn	p12-s6	91.33	50.73	3.57	37.03	59.4
668	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	ecapa_tdnn	p17-s2	17.29	8.74	5.34	3.2	91.45
669	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	ecapa_tdnn	p17-s6	21.71	7.96	10.48	3.27	86.26
670	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	ecapa_tdnn	p18-s15	12.62	3.84	5.41	3.37	91.22
671	ClusteringDiarizer	denoised_audios	auto_num-speakers	no_overlap	vad_telephony_marblenet	ecapa_tdnn	p18-s17	20.07	5.75	10.15	4.17	85.68
672	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p5-s8	62.22	12.05	41.31	8.87	49.82
673	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p5-s10	62.79	12.52	36.76	13.5	49.74
674	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p7-s8	71.1	2.1	54.5	14.5	31
675	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p7-s16	60.55	10.7	38.26	11.59	50.15
676	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p9-s3-1	84.58	3.2	76.83	4.55	18.62
677	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p9-s9	54.3	7.43	44.55	2.32	53.13
678	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p11-s4	68.29	11.71	37.51	19.07	43.42
679	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p11-s11	64.24	13.26	30.54	20.44	49.02
680	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p12-s3	90.93	1.06	86.38	3.49	10.13
681	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p12-s6	94.65	0.98	91.07	2.59	6.33
682	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p17-s2	55.89	6.18	27.82	21.89	50.29
683	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p17-s6	43.8	7.84	30.84	5.12	64.04
684	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p18-s15	68.15	16.31	38.61	13.23	48.16
685	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	titanet_large	p18-s17	62.93	20.19	25.47	17.27	57.27
686	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p5-s8	55.21	7	41.1	7.12	51.78
687	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p5-s10	61.15	13.14	37.26	10.74	51.99
688	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p7-s8	71.05	2.1	54.5	14.45	31.05
689	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p7-s16	54.07	8.81	38.39	6.86	54.74
690	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p9-s3-1	84.68	3.2	76.83	4.65	18.52
691	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p9-s9	75.05	8.14	44.63	22.29	33.09
692	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p11-s4	50.9	8.19	37.67	5.04	57.29
693	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p11-s11	49.26	9.03	30.28	9.94	59.77
694	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p12-s3	90.94	1.51	86.25	3.18	10.57
695	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p12-s6	95.21	0.99	90.87	3.36	5.78
696	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p17-s2	42.44	6.18	27.82	8.44	63.74
697	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p17-s6	51.74	12.82	30.67	8.24	61.09
698	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p18-s15	64.88	14.29	39.48	11.1	49.41
699	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_marblenet	ecapa_tdnn	p18-s17	57.89	20.24	25.59	12.06	62.35
700	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p5-s8	73.19	2.71	65.8	4.68	29.52
701	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p5-s10	59.49	12.08	39.5	7.91	52.59
702	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p7-s8	81.06	0.32	67.78	12.95	19.27
703	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p7-s16	69.48	9.27	50.71	9.5	39.79
704	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p9-s3-1	93.1	0.54	87.91	4.65	7.44
705	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p9-s9	72.9	4.51	61.74	6.65	31.62
706	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p11-s4	73.83	4.53	57.27	12.02	30.71
707	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p11-s11	76.5	3.05	60.53	12.92	26.55
708	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p12-s3	93.72	0.41	92.23	1.08	6.69
709	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p12-s6	95.3	0.97	90.85	3.48	5.67
710	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p17-s2	52.16	1.47	30.72	19.97	49.31
711	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p17-s6	51.46	6.51	34.98	9.96	55.05
712	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p18-s15	66.38	9.71	44.76	11.91	43.33
713	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	titanet_large	p18-s17	57.04	14.07	27.73	15.24	57.03
714	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	ecapa_tdnn	p5-s8	70.74	1.99	65.5	3.25	31.25
715	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	ecapa_tdnn	p5-s10	63.96	11.89	40.11	11.96	47.93
716	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	ecapa_tdnn	p7-s8	77.13	0.32	67.78	9.03	23.19
717	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	ecapa_tdnn	p7-s16	71.44	6.95	50.01	14.48	35.51
718	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	ecapa_tdnn	p9-s3-1	93.44	0.54	87.91	4.99	7.1
719	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	ecapa_tdnn	p9-s9	74.17	3.03	62	9.14	28.86
720	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	ecapa_tdnn	p11-s4	77.04	5.67	57.1	14.28	28.63
721	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	ecapa_tdnn	p11-s11	75.02	4.93	60.31	9.78	29.91
722	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	ecapa_tdnn	p12-s3	95.73	0.89	92.16	2.68	5.16
723	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	ecapa_tdnn	p12-s6	95.57	1.22	90.49	3.86	5.65
724	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	ecapa_tdnn	p17-s2	40.59	1.47	30.72	8.4	60.88
725	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	ecapa_tdnn	p17-s6	43.1	2.46	36.38	4.26	59.36
726	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	ecapa_tdnn	p18-s15	73.76	7.7	45.09	20.97	33.95
727	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_multilingual_marblenet	ecapa_tdnn	p18-s17	51.47	17.32	27.52	6.63	65.85
728	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	titanet_large	p5-s8	75.95	7.92	58.2	9.83	31.97
729	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	titanet_large	p5-s10	62.19	19.99	26.42	15.77	57.81
730	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	titanet_large	p7-s8	63.71	3.4	55.03	5.28	39.69
731	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	titanet_large	p7-s16	68.7	14.78	42.83	11.09	46.08
732	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	titanet_large	p9-s3-1	94.84	2.04	89.92	2.88	7.2
733	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	titanet_large	p9-s9	77.67	2.28	69.76	5.63	24.61
734	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	titanet_large	p11-s4	67.26	20.02	38.74	8.51	52.76
735	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	titanet_large	p11-s11	89.51	28.53	38.06	22.92	39.03
736	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	titanet_large	p12-s3	97.21	0.33	95.09	1.78	3.12
737	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	titanet_large	p12-s6	89.03	0.71	85.91	2.41	11.68
738	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	titanet_large	p17-s2	45.38	7.26	22.32	15.8	61.87
739	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	titanet_large	p17-s6	55.3	14.96	26.9	13.44	59.66
740	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	titanet_large	p18-s15	64.89	26.35	23.32	15.23	61.46
741	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	titanet_large	p18-s17	57.31	22.14	19.46	15.71	64.83
742	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	ecapa_tdnn	p5-s8	72.96	7.27	58.22	7.47	34.31
743	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	ecapa_tdnn	p5-s10	49.47	17.52	26.63	5.33	68.04
744	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	ecapa_tdnn	p7-s8	72.41	3.4	55.03	13.97	31
745	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	ecapa_tdnn	p7-s16	61.57	11.06	44.32	6.19	49.49
746	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	ecapa_tdnn	p9-s3-1	95.59	2.04	89.92	3.63	6.45
747	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	ecapa_tdnn	p9-s9	79.22	3.01	69.46	6.76	23.78
748	NeuralDiarizer	raw_audios	fixed_num-speakers	overlap	vad_telephony_marblenet	ecapa_tdnn	p11-s4	63.46	18.32	38.84	6.3	54.86
