Participant,Fold,Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1 Score,AUROC
p11,1,16,32,0.5,0.001,0.0001,0.6503067484662577,0.6578947368421053,0.6172839506172839,0.6369426751592356,0.6772056609454982
p11,2,16,32,0.5,0.001,0.0001,0.6851851851851852,0.6704545454545454,0.7283950617283951,0.6982248520710059,0.7358634354519128
p11,3,16,32,0.5,0.001,0.0001,0.6234567901234568,0.6351351351351351,0.5802469135802469,0.6064516129032258,0.6471574455113549
p11,4,16,32,0.5,0.001,0.0001,0.7098765432098766,0.726027397260274,0.6625,0.6928104575163399,0.7443597560975609
p11,5,16,32,0.5,0.001,0.0001,0.5061728395061729,0.0,0.0,0.0,0.6410060975609756
p11,1,16,32,0.5,0.0005,0.0,0.6196319018404908,0.6301369863013698,0.5679012345679012,0.5974025974025974,0.666064438422162
p11,2,16,32,0.5,0.0005,0.0,0.6851851851851852,0.6875,0.6790123456790124,0.6832298136645962,0.7341868617588783
p11,3,16,32,0.5,0.0005,0.0,0.6234567901234568,0.6388888888888888,0.5679012345679012,0.6013071895424836,0.6323731138545953
p11,4,16,32,0.5,0.0005,0.0,0.691358024691358,0.6923076923076923,0.675,0.6835443037974683,0.7498475609756098
p11,5,16,32,0.5,0.0005,0.0,0.5,0.0,0.0,0.0,0.601219512195122
p11,1,16,32,0.5,0.0005,0.0001,0.6441717791411042,0.6533333333333333,0.6049382716049383,0.6282051282051282,0.6662149954832881
p11,2,16,32,0.5,0.0005,0.0001,0.654320987654321,0.6237623762376238,0.7777777777777778,0.6923076923076923,0.7171162932479804
p11,3,16,32,0.5,0.0005,0.0001,0.6419753086419753,0.6493506493506493,0.6172839506172839,0.6329113924050633,0.6502057613168722
p11,4,16,32,0.5,0.0005,0.0001,0.6728395061728395,0.6753246753246753,0.65,0.6624203821656051,0.7201219512195122
p11,5,16,32,0.5,0.0005,0.0001,0.6234567901234568,0.6067415730337079,0.675,0.6390532544378699,0.6496951219512195
p11,1,16,64,0.2,0.001,0.0,0.6687116564417178,0.6956521739130435,0.5925925925925926,0.64,0.6752484191508583
p11,2,16,64,0.2,0.001,0.0,0.5432098765432098,0.7058823529411765,0.14814814814814814,0.24489795918367346,0.6575217192501143
p11,3,16,64,0.2,0.001,0.0,0.6296296296296297,0.6329113924050633,0.6172839506172839,0.625,0.643499466544734
p11,4,16,64,0.2,0.001,0.0,0.6728395061728395,0.7014925373134329,0.5875,0.6394557823129252,0.7358231707317074
p11,5,16,64,0.2,0.001,0.0,0.5,0.4968944099378882,1.0,0.6639004149377593,0.5367378048780488
p11,1,16,64,0.2,0.001,0.0001,0.6503067484662577,0.6666666666666666,0.5925925925925926,0.6274509803921569,0.680517916290274
p11,2,16,64,0.2,0.001,0.0001,0.6604938271604939,0.6511627906976745,0.691358024691358,0.6706586826347305,0.7041609510745314
p11,3,16,64,0.2,0.001,0.0001,0.6358024691358025,0.6486486486486487,0.5925925925925926,0.6193548387096774,0.6630086877000457
p11,4,16,64,0.2,0.001,0.0001,0.6975308641975309,0.7246376811594203,0.625,0.6711409395973155,0.7507621951219512
p11,5,16,64,0.2,0.001,0.0001,0.6111111111111112,0.6545454545454545,0.45,0.5333333333333333,0.6710365853658535
p11,1,16,64,0.2,0.0005,0.0,0.6625766871165644,0.6585365853658537,0.6666666666666666,0.6625766871165644,0.6776573321288769
p11,2,16,64,0.2,0.0005,0.0,0.6111111111111112,0.6216216216216216,0.5679012345679012,0.5935483870967742,0.6406035665294925
p11,3,16,64,0.2,0.0005,0.0,0.6296296296296297,0.6438356164383562,0.5802469135802469,0.6103896103896104,0.6645328456028046
p11,4,16,64,0.2,0.0005,0.0,0.6728395061728395,0.68,0.6375,0.6580645161290323,0.7359756097560975
p11,5,16,64,0.2,0.0005,0.0,0.6172839506172839,0.6216216216216216,0.575,0.5974025974025974,0.6327743902439025
p11,1,16,64,0.2,0.0005,0.0001,0.6380368098159509,0.6447368421052632,0.6049382716049383,0.6242038216560509,0.6689250225835591
p11,2,16,64,0.2,0.0005,0.0001,0.6481481481481481,0.6578947368421053,0.6172839506172839,0.6369426751592356,0.6806889193720469
p11,3,16,64,0.2,0.0005,0.0001,0.6234567901234568,0.631578947368421,0.5925925925925926,0.6114649681528662,0.6477671086724585
p11,4,16,64,0.2,0.0005,0.0001,0.7037037037037037,0.7424242424242424,0.6125,0.6712328767123288,0.7435975609756097
p11,5,16,64,0.2,0.0005,0.0001,0.6358024691358025,0.6363636363636364,0.6125,0.6242038216560509,0.6478658536585367
p11,1,16,64,0.3,0.001,0.0,0.6687116564417178,0.68,0.6296296296296297,0.6538461538461539,0.6851851851851853
p11,2,16,64,0.3,0.001,0.0,0.6172839506172839,0.5922330097087378,0.7530864197530864,0.6630434782608695,0.7049230300259107
p11,3,16,64,0.3,0.001,0.0,0.6234567901234568,0.631578947368421,0.5925925925925926,0.6114649681528662,0.6579789666209419
p11,4,16,64,0.3,0.001,0.0,0.691358024691358,0.7027027027027027,0.65,0.6753246753246753,0.739939024390244
p11,5,16,64,0.3,0.001,0.0,0.5617283950617284,0.6666666666666666,0.225,0.3364485981308411,0.6012195121951219
p11,1,16,64,0.3,0.001,0.0001,0.6687116564417178,0.68,0.6296296296296297,0.6538461538461539,0.6874435411020776
p11,2,16,64,0.3,0.001,0.0001,0.5061728395061729,0.5714285714285714,0.04938271604938271,0.09090909090909091,0.6505105928974242
p11,3,16,64,0.3,0.001,0.0001,0.6172839506172839,0.6233766233766234,0.5925925925925926,0.6075949367088608,0.6596555403139766
p11,4,16,64,0.3,0.001,0.0001,0.654320987654321,0.6666666666666666,0.6,0.631578947368421,0.7365853658536585
p11,5,16,64,0.3,0.001,0.0001,0.5679012345679012,0.578125,0.4625,0.5138888888888888,0.6033536585365853
p11,1,16,64,0.3,0.0005,0.0,0.6625766871165644,0.6710526315789473,0.6296296296296297,0.6496815286624203,0.6737428485395964
p11,2,16,64,0.3,0.0005,0.0,0.6172839506172839,0.9130434782608695,0.25925925925925924,0.40384615384615385,0.7607072092668801
p11,3,16,64,0.3,0.0005,0.0,0.6111111111111112,0.6153846153846154,0.5925925925925926,0.6037735849056604,0.6611796982167353
p11,4,16,64,0.3,0.0005,0.0,0.6604938271604939,0.6712328767123288,0.6125,0.6405228758169934,0.7434451219512196
p11,5,16,64,0.3,0.0005,0.0,0.6111111111111112,0.6133333333333333,0.575,0.5935483870967742,0.6263719512195122
p11,1,16,64,0.3,0.0005,0.0001,0.6625766871165644,0.6666666666666666,0.6419753086419753,0.6540880503144654,0.6728395061728395
p11,2,16,64,0.3,0.0005,0.0001,0.6666666666666666,0.6626506024096386,0.6790123456790124,0.6707317073170732,0.7328151196463952
p11,3,16,64,0.3,0.0005,0.0001,0.6358024691358025,0.6410256410256411,0.6172839506172839,0.6289308176100629,0.6633135192805976
p11,4,16,64,0.3,0.0005,0.0001,0.691358024691358,0.7142857142857143,0.625,0.6666666666666666,0.7396341463414634
